cluster-id,latitude,longitude,latitude-std,longitude-std,report-num,range,traffic-light,item
3,37.77961453,-122.4271751,0.000527868,0.000373351,53,55.20946174,1,
6,37.79227213,-122.4432377,7.09E-05,8.76E-05,47,9.621562309,0,
7,37.73895146,-122.4148035,7.03E-05,0.000290762,48,25.54269327,0,
17,37.72427026,-122.4020303,0.000319518,0.000264242,39,35.40501038,0,加油站
20,37.77182289,-122.4047369,0.000490188,0.000527765,45,61.50571235,0,窄
21,37.74309219,-122.4747524,0.000356651,0.001019654,105,92.24077443,1,
23,37.78625283,-122.4565443,0.000464908,0.000960614,127,91.12830382,1,
26,37.78216902,-122.449887,0.000220656,0.000616644,306,55.92479788,1,
30,37.77928548,-122.4017392,0.000266997,0.000364581,62,38.58706718,1,
33,37.76033319,-122.4371632,0.000867267,0.000152944,47,75.19870257,1,
34,37.78193391,-122.4011029,0.000373326,0.000576971,184,58.68154703,1,
36,37.77316406,-122.418618,0.000541291,0.000585799,224,68.10654422,1,
44,37.7823447,-122.447388,0.00074947,0.00026689,100,67.93397173,1,
46,37.77217522,-122.4408839,0.00043734,0.001010299,69,94.00543474,1,
52,37.76514,-122.4353463,0.000619835,0.000175752,41,55.01421183,0,十字路口没有红绿灯
56,37.75699109,-122.4346796,0.00081316,0.00035984,55,75.93055628,1,
58,37.77988303,-122.4292938,0.000186733,0.000608162,76,54.32378865,0,范围内没有红绿灯，但是前方有红绿灯
59,37.75512485,-122.4096673,0.000633468,0.000370669,33,62.67169148,0,范围内没有红绿灯，但是前方有红绿灯
63,37.74857125,-122.4161573,0.000232992,0.00033067,287,34.54106362,1,加油站
69,37.78048881,-122.4775388,0.000293523,0.000607357,59,57.60114182,1,
74,37.75554147,-122.4176997,0.000150336,0.000314349,34,29.75395706,1,
80,37.78393847,-122.4585693,0.000903584,0.000607227,72,92.96099497,1,
86,37.75552833,-122.4051623,0.000238396,8.99E-05,66,21.75499546,0,景观建筑
87,37.7486807,-122.4360633,0.000586127,0.000111712,43,50.95031492,0,
95,37.7619741,-122.4177032,0.00062339,0.000649533,105,76.87509796,1,
100,37.74232581,-122.4052335,0.000383482,0.000112858,31,34.13416348,0,食品市场
101,37.75507438,-122.4228628,0.000267485,0.000435136,32,43.6151049,1,市场
104,37.71613962,-122.440246,0.000268277,0.000569042,52,53.71982963,0,
109,37.78794722,-122.4303783,0.000421139,0.000699765,36,69.73959784,1,
120,37.78356145,-122.4845804,0.000272366,0.000619901,55,57.81733339,1,
125,37.77552302,-122.44292,0.000887866,0.000243303,53,78.60993613,0,十字路口没有红绿灯
126,37.78030833,-122.4800309,0.00017827,0.000511167,54,46.2268186,1,Station
130,37.76859912,-122.4202549,0.000477346,0.000203436,375,44.307856,1,加油站
132,37.75611,-122.4147224,0.000612911,0.000489185,54,66.96242311,0,市场
135,37.77283739,-122.4063345,0.00014262,0.000114396,115,15.61187392,0,维修站
137,37.76563129,-122.4645139,0.00032678,0.000637289,70,61.15512097,1,
142,37.78999486,-122.4423868,0.000445126,0.00029358,37,45.53184857,1,
155,37.72608485,-122.4762279,0.000353298,0.000372339,33,43.82890717,0,超市 停车场
157,37.77765125,-122.446666,0.000831339,0.000390554,40,78.43137023,1,
161,37.76901761,-122.4131856,0.000501781,0.000355968,71,52.53377861,0,超市
165,37.72042691,-122.4381042,0.00090043,0.000690509,55,96.89323974,1,
169,37.74843102,-122.4028995,8.76E-05,0.000110803,59,12.06046769,0,电视台
172,37.73473617,-122.4715134,0.000324617,0.000319689,47,38.90426134,1,
176,37.79210075,-122.4399788,0.000500653,0.000610679,40,67.43012281,1,
181,37.71385046,-122.4360221,0.000108873,0.000194124,87,19.00523529,0,
189,37.73509076,-122.4045091,0.000567888,0.000270354,66,53.70669939,0,
198,37.76363246,-122.4574114,0.000239436,0.000490571,118,46.61309454,1,
217,37.7636401,-122.4772915,0.000201628,0.00083693,103,73.5101126,1,
222,37.7658252,-122.4036302,0.000245849,0.000112113,50,23.07286829,1,
226,37.78798032,-122.4489187,0.000700488,0.000362149,31,67.33556965,1,
234,37.76382412,-122.4171121,0.000119804,8.34E-05,85,12.46253063,0,加气站
242,37.76849522,-122.4348679,0.000160013,0.000248026,67,25.20392502,0,医院
252,37.74563219,-122.4517678,0.000239593,0.000506339,32,47.8324011,1,加油站
259,37.73365792,-122.434014,0.000550704,0.000315566,53,54.19786989,1,
273,37.76528651,-122.4770295,0.000170683,0.000518174,43,46.58549412,1,加油站
275,37.75448258,-122.4024884,0.000242377,0.000284102,31,31.88838419,1,
276,37.78208994,-122.4845937,0.000112287,0.000555282,158,48.37524808,1,
280,37.758836,-122.4097536,0.000944578,0.000402004,115,87.65835928,1,
290,37.77448711,-122.4443097,0.000580158,0.000444331,38,62.39975806,0,
309,37.76354065,-122.4072165,0.00058865,0.000433944,46,62.44666429,0,
326,37.76866632,-122.4159122,0.000420014,0.00025514,193,41.963646,1,
361,37.72315633,-122.4540641,0.000134485,0.000143816,49,16.81320593,0,范围内没有红绿灯，但是前方有红绿灯
368,37.75302935,-122.4062235,0.000197432,0.000289719,31,29.93727114,1,
379,37.73055052,-122.4028817,0.000106085,0.000123532,58,13.90422097,0,加油站
381,37.79085205,-122.4412844,0.000649247,0.000527061,39,71.40746878,1,
384,37.75181632,-122.4250082,0.000620507,0.000503865,38,68.253782,1,
389,37.72988236,-122.4051315,0.000761189,0.000687838,89,87.60409956,1,
399,37.78203158,-122.4428371,0.000551471,0.00018743,76,49.73557507,0,范围内没有红绿灯，但是前方有红绿灯
402,37.77739373,-122.4267763,0.00030978,0.000244196,51,33.68261411,0,窄
425,37.77846734,-122.4098405,0.000377331,0.000689042,64,67.08185838,1,
461,37.74820781,-122.4203338,0.000414268,0.00040261,32,49.32799321,1,
467,37.75555351,-122.4689792,0.000311709,0.000155636,134,29.75022679,0,
470,37.78624182,-122.4454525,0.000792523,0.000582559,55,83.98955414,0,
493,37.74869184,-122.4064535,0.000176478,0.000136787,49,19.06609788,0,加油站
502,37.77111509,-122.4680756,0.000436799,0.00060998,57,64.06346598,0,博物馆 广场
514,37.76450436,-122.4999072,3.93E-05,7.41E-05,39,7.16232903,0,
518,37.7377298,-122.4044484,0.000452537,0.000241805,51,43.81259724,0,停车场
519,37.77441229,-122.4052819,0.000494997,0.000284019,48,48.73135693,1,
524,37.74363821,-122.401253,9.23E-05,0.000120192,106,12.93875116,0,taxi 中心
546,37.771105,-122.4107914,4.62E-05,4.41E-05,36,5.452949422,0,
557,37.77826091,-122.4434827,0.000751446,0.000210524,33,66.63656793,1,
562,37.78561758,-122.4593818,0.0003325,0.000411851,33,45.19850315,1,
569,37.79652612,-122.427439,0.000561671,0.000632328,49,72.21958661,1,
576,37.7770365,-122.4559135,0.00020415,0.000188983,60,23.75500596,0,
611,37.75577333,-122.42988,0.000287661,0.000303456,36,35.70428293,1,
617,37.7544483,-122.4656872,0.000145054,4.97E-05,47,13.0924865,0,范围内没有红绿灯，但是前方有红绿灯
618,37.75874129,-122.4316784,3.08E-05,3.79E-05,31,4.170662467,0,
644,37.73997294,-122.4667502,0.000545646,0.00059415,51,68.88296172,1,
646,37.73225349,-122.4056228,0.000208171,0.000300013,83,31.18118307,1,
647,37.77841759,-122.4953543,6.92E-05,3.85E-05,108,6.759069718,0,
770,37.7647873,-122.4027516,0.000153779,0.000186272,37,20.62576764,1,
785,37.78320674,-122.4708884,0.000484221,0.000137251,43,42.97653019,0,范围内没有红绿灯，但是前方有红绿灯
804,37.74484625,-122.4246263,0.00017279,0.000124764,32,18.19880686,1,
845,37.73450571,-122.4130887,7.15E-05,6.19E-05,70,8.074011255,0,范围内没有红绿灯，但是前方有红绿灯
937,37.70190911,-122.4865325,0.000101457,0.000192704,158,18.59629305,0,
953,37.73002829,-122.4422007,0.000115583,0.000192761,41,19.19214353,1,
1085,37.78386919,-122.4869578,7.86E-05,6.17E-05,37,8.533100154,1,
1172,37.71412483,-122.4731122,0.000146829,0.000321357,58,30.16927531,0,
1281,37.70149296,-122.4148376,3.70E-05,4.35E-05,54,4.874516515,0,停车场
1409,37.73598074,-122.4472348,4.26E-05,3.63E-05,54,4.783429557,0,
